id,code,name,credit
1,011614,세종인을위한진로설계,1
2,009068,서양철학:쟁점과토론,3
3,010352,"English Listening Practice 1",2
4,010354,"English Reading Practice 1",2
5,011238,우주자연인간,1
6,011304,대학영어,2
7,012150,비판적사고와창의적글쓰기,3
8,008881,"인지과학:마음,언어,기계",3
9,009937,"공간과인간:인문,예술,공학의융합",3
10,010538,융합적사고,3
11,010797,융합적사고에기반한인문사회계글쓰기,3
12,010798,융합적사고에기반한이공계글쓰기,3
13,012056,새잎창의세미나,3
14,012082,우주와문명,3
15,001357,미적분학1,3
16,001362,미적분학2,3
17,002638,일반물리학1,4
18,002705,일반화학1,3
19,011297,컴퓨터사고기반기초코딩,3
20,011298,SW기초코딩,3
21,011300,고급프로그래밍활용,3
22,011320,인공지능과빅데이터,3
23,011321,인공지능활용,3
24,011322,고급인공지능활용,3
25,011526,사회과학수학,3
26,004558,채플1,0.5
27,004777,채플3,0.5
28,007343,신화와예술,3
29,007563,현대인과기독교,3
30,007731,철학과인간이해,3
31,008381,세종리더십,2
32,008882,동서양의윤리,3
33,008913,동양고전강독1,1
34,008914,서양고전강독1,1
35,009033,독서토론,2
36,009057,서양고전강독3,1
37,009489,세계사:인간과문명,3
38,009740,동양의철학사상-노장과불교,3
39,009775,동양종교의이해,3
40,009780,고전특강,1
41,009938,동서양고전문학강독,1
42,010357,수요집현강좌,1
43,010359,"SHP고전강좌:Reading Intellectus 1",3
44,010530,"SHP고전강좌:Writing Intellectus 1",3
45,010652,"SHP고전강좌:Building Intellectus 1",3
46,010663,"SHP고전강좌:Building Intellectus 2",1
47,011878,역사속의기독교,3
48,012153,정보사회의AI윤리,3
49,012268,세계종교,3
50,002074,여성학,3
51,004489,한국의전통과문화,3
52,005991,스피치커뮤니케이션,3
53,006422,성과문화,2
54,007345,미술심리치료,3
55,007779,현대인의정신건강과자기발견,2
56,008884,국가와정체성,3
57,008936,정치경제학의이해,3
58,009251,중급미술심리치료,3
59,009252,영상스토리텔링,3
60,009785,공간마케팅,3
61,010356,대학생을위한실용금융,2
62,010358,행복한가정만들기,3
63,012158,영화속조직의이해,3
64,012269,인간관계심리학,3
65,003129,지구과학개론,3
66,004763,과학사,3
67,004921,미생물의세계,3
68,005106,생명의미시적세계,3
69,005541,식물의세계,3
70,008885,과학기술과사회,3
71,008890,천문학의세계,3
72,008892,생명과학의미래,3
73,009936,"Technical Writing기초",2
74,010363,곤충의새로운가치,3
75,010542,K-MOOC:일반인을위한물리코딩,1
76,010543,K-MOOC:코딩과스토리텔링,1
77,011416,생활속의물리,3
78,011616,향과학의이해,3
79,011845,공학기술사,3
80,012059,생활속의수학,3
81,012061,물리학입문,3
82,012063,미적분학입문,3
83,012081,데이터로읽는세상,3
84,012159,K-MOOC:인공지능을위한고급수학,3
85,006214,일본어1,3
86,006844,"Intensive English",3
87,007207,기초중국어1,3
88,007208,기초중국어2,3
89,007214,글로벌잉글리쉬1,2
90,007321,생활일본어,3
91,007338,중국의정치경제와사회,3
92,007401,영어발음연습,3
93,007503,영어읽기연습,1
94,007504,영어듣기연습,1
95,008894,세계화와글로벌거버넌스,3
96,008898,영어로하는프리젠테이션,3
97,009046,글로벌잉글리쉬1(진로탐색),2
98,009048,글로벌잉글리쉬1(심화),1
99,009073,"English Speaking Strategies(TS) 1",2
100,009981,"English Listening",2
101,009982,"English Reading",2
102,010531,세계시민정신,3
103,010532,아시아공동체의이해,2
104,012154,"English Speaking Strategies(IELTS) 1",2
105,012156,"English Speaking Strategies(OPIC) 1",2
106,012161,기초프랑스어,3
107,012162,프랑스문화의이해,3
108,012163,기초스페인어,3
109,012164,스페인문화의이해,3
110,005565,스쿼시,1
111,006283,생활속의색채심리학,2
112,006425,스포츠와대중매체,2
113,006709,운동과다이어트,2
114,006711,건강과삶,2
115,009061,웰빙레저스포츠,2
116,009453,보컬트레이닝,3
117,010410,K-MOOC:웨어러블컴퓨터디자인,1
118,011093,골프,1
119,011324,K-MOOC:인공지능콘텐츠아트프로듀싱,1
120,012075,K-태권도1,2
121,012077,호신술,2
122,007221,진로설정과자기계발,2
123,008364,세종사회봉사1,1
124,008365,세종사회봉사2,1
125,009035,창업의이론과실제,3
126,010412,K-MOOC:콘텐츠산업의비즈니스전략,3
127,010651,진로오딧세이,1
128,010664,기술과창업,3
129,500914,행복학,3
130,501271,차문화와건강,3
131,501272,한일문화와의만남,3
132,501296,건강을지켜주는약초학,3
133,501299,이미지메이킹과매너,3
134,501332,나혼자영상만들기,3
135,501342,"예술,역사를만나다-고대와근대",3
136,501345,노동법,3
137,501354,설득력있는프레젠테이션,3
138,501370,국제이주와노동정책,3
139,010418,자기주도창의전공Ⅰ,3
140,010419,자기주도창의전공Ⅱ,3
141,010420,자기주도창의전공Ⅲ,3
142,010421,자기주도창의전공Ⅳ,3
143,008334,교육봉사활동1,1
144,008336,교육봉사활동3,2
145,012151,창업과기업가정신,1
146,006937,한국현대사,3
147,011305,동서양의사상과윤리,3
148,011306,성서와기독교,3
149,011307,세계사,3
150,011308,생명과학의이해,3
151,011310,지구환경과기후변화,3
152,011311,현대과학으로의초대,3
153,011312,경영학,3
154,011313,경제학,3
155,011314,미디어빅뱅과방송,3
156,011316,융합예술의이해,3
157,011317,컴퓨터게임과메타버스,3
158,011318,한국의문화와한류,3
159,011319,현대예술의이해,3
160,007082,취업과진로,2
161,012160,직무적성검사의이해,1
162,000486,교육사회,2
163,000525,교육학개론,2
164,012152,취창업과진로역량개발,1
165,010083,취업전략및사회진출,2
166,000464,교육과정,2
167,000520,교육평가,2
168,007849,교직소양을위한독서강좌1,1
169,008283,교직실무,1
170,012070,디지털교육,1
171,010653,안보학,3
172,008276,학교현장실습,2
173,008910,생활지도및상담,2
174,010655,조직리더십,3
175,004559,한국문학의이해,3
176,010434,의사소통교육론,3
177,000588,국어문법론,3
178,008355,한국한문학의이해,3
179,004564,한국현대소설론,3
180,005329,국어교육론,3
181,000596,국어의미론,3
182,006855,한국현대시론,3
183,007832,국어교과교육론,3
184,008363,시조가사론,3
185,012097,AI와언어데이터분석,3
186,008370,독서교육론,3
187,008371,한국문학과문화콘텐츠,3
188,010111,졸업연구및진로1,1
189,008416,일본사회의이해,3
190,009495,중국어입문,3
191,011487,언어이야기,3
192,011639,초급일본어1,3
193,011745,시장경제의원리,3
194,011778,언어학과디지털휴머니티,3
195,007821,영어의미의흐름,3
196,007819,영국사회와문학,3
197,007820,영어음성음운론,3
198,007833,영어교과교육론,3
199,007933,현대영어학의흐름,3
200,010326,언어과학,3
201,005840,영어속의논리,3
202,011783,영어문법의이해와활용,3
203,008373,영미작가이야기,3
204,010366,인지체계와의사소통능력,3
205,011779,영미드라마의이해,3
206,011946,디지털일본학과AI리터러시,3
207,007909,일본어문법,3
208,010373,일본어작문,3
209,011638,중급일본어,3
210,005068,일본의무대예술,3
211,010379,일본어학개론,3
212,009084,일본현대사,3
213,006408,일본어능력시험,0
214,008413,현대일본과국제사회,3
215,009101,일본언어문화론,3
216,010387,거시경제의이해,3
217,010517,동아시아근현대사,3
218,007689,중급중국어1,3
219,009497,중급중국어연습1,3
220,008758,중국어능력시험,0
221,009506,중국문학과문화,3
222,011572,중국어회화연습1,3
223,007749,중국경제론,3
224,008751,중국정치사회론,3
225,010515,한류와문화산업,3
226,010522,경제신문독해,3
227,011672,역사와역사콘텐츠의이해,3
228,012104,인류의기원과선사문화,3
229,010253,역사학개론,3
230,001646,서양고대사,3
231,010252,동아시아고대사,3
232,010804,서양근세문화사,3
233,003518,한국근세사,3
234,007835,역사교과교육론,3
235,010255,동아시아근세사,3
236,011900,AI디지털기반역사문화자원큐레이션,3
237,007746,쟁점동양사,3
238,008418,쟁점서양사,3
239,010258,쟁점한국사,3
240,008734,교육학의탐구,3
241,010808,대학의이해,3
242,005071,교육철학의이해,3
243,008737,교육심리의이론과실제,3
244,000451,교수학습이론,3
245,001397,발달심리학,3
246,003402,평생교육론,3
247,006439,기업교육론,3
248,007813,원격교육론,3
249,007836,교육학교과교육론,3
250,010548,진로상담의이해와실제,3
251,010810,교육정책탐구,3
252,006689,학생상담의이론과실제,3
253,007814,교육평가론,3
254,007856,평생교육실습,3
255,011643,융합사회의정부와행정,3
256,002527,인사행정론,3
257,009908,조직론1,3
258,003147,지방행정론,3
259,011841,행정통계분석(기초),3
260,003000,정책론,3
261,000922,도시행정론,3
262,003047,조사방법론,3
263,007596,전자정부론,3
264,007837,일반사회교과교육론,3
265,011644,AI시대의행정철학과윤리,3
266,000288,공기업론,3
267,007183,공법연습,3
268,008616,정책분석평가론,3
269,011840,복지정책론,3
270,004208,인간커뮤니케이션,3
271,004659,커뮤니케이션조사방법론,3
272,006691,커뮤니케이션이론,3
273,007396,정보리터러시,3
274,008427,광고매체기획,3
275,010467,영상콘텐츠제작기초,3
276,007404,디지털미디어와사회,3
277,007407,대중문화론,3
278,010470,디지털저널리즘,3
279,011558,PR전략,3
280,011560,광고크리에이티브,3
281,010474,콘텐츠글쓰기,3
282,010476,IMC전략과소비자,3
283,010477,영상제작워크샵,3
284,008802,법학입문,3
285,009600,헌법1,3
286,009602,민법총칙,3
287,009608,형법총론,3
288,008708,논리와논술,3
289,008711,상행위법,3
290,009604,채권총론,3
291,003706,행정법1,3
292,001757,세법,3
293,008724,노동법,3
294,008732,금융법,3
295,009607,형사소송법,3
296,000137,경영학원론,3
297,002869,재무관리,3
298,004008,회계원리1,3
299,004076,마케팅관리,3
300,005155,경영통계학,3
301,009253,경영과학,3
302,009277,비즈니스커뮤니케이션1,3
303,009867,"Global Marketing",3
304,010131,경영기초영어,3
305,002340,원가회계,3
306,006799,보험과리스크,3
307,006858,서비스마케팅,3
308,007186,인적자원관리,3
309,007187,조직관리,3
310,007188,비즈니스인텔리전스,3
311,007253,기업윤리와사회적책임,3
312,007436,마케팅커뮤니케이션,3
313,007991,서비스운영관리,3
314,008437,채권분석,3
315,009255,경영데이터관리,3
316,009256,CEO멘토링1,2
317,009872,중급회계1,3
318,010391,상업교과교육론,3
319,010495,상업교수법,3
320,010615,마케팅애널리틱스,3
321,011531,조직연구,3
322,011935,회계AI애널리틱스,3
323,000834,노사관계론,3
324,003993,회계감사,3
325,006698,공급사슬관리,3
326,008486,리더십,3
327,009258,브랜드관리,3
328,010486,금융위험관리,3
329,010492,비즈니스애널리틱스,3
330,012263,실용금융,3
331,000200,경제학원론,3
332,001342,미시경제학,3
333,007768,경제수학,3
334,000209,계량경제학,3
335,000183,경제통합론,3
336,000659,국제무역론,3
337,003498,한국경제론,3
338,003954,화폐금융론,3
339,010448,빅데이터론,3
340,000830,노동경제학,3
341,007379,문화경제학,3
342,011835,경제학세미나1,3
343,012198,법경제학,3
344,011618,Hospitality경영원론,3
345,003855,호텔경영론,3
346,003998,회계원리,3
347,009614,호텔관광마케팅,3
348,000362,관광자원론,3
349,009888,축제경영연구,3
350,011607,AI와호스피탈리티산업,3
351,011609,호텔관광조직행동론,3
352,012224,논코딩데이터프로그래밍,3
353,004074,호텔관광재무관리,3
354,005282,카지노산업론,3
355,007439,여가공간계획론,3
356,007509,문화관광경영론,3
357,007839,관광교과교육론,3
358,009772,MICE산업론,3
359,009901,호텔관광연구방법론,3
360,009904,호텔관광사례연구세미나,3
361,009905,호텔관광기업가정신과리더쉽,3
362,010182,관광개발론,3
363,010183,호텔관광의사결정방법론,3
364,010184,호텔관광데이터분석,3
365,012226,호텔관광AI의사결정체계,3
366,004469,조리원리,3
367,007385,외식산업경영론,3
368,008453,기초한국조리실습,3
369,011481,외식서비스오퍼레이션,3
370,007312,외국조리실습,3
371,009515,외식경영통계,3
372,009765,바리스타및음료실습2,3
373,011479,주류개론및응용,3
374,011484,F&B품질평가관리,3
375,006463,레스토랑경영론,3
376,010684,"SFM 외식데이터분석",3
377,010829,외식경영과학,3
378,009113,경영학원론,3
379,009114,마케팅원론,3
380,009351,관광산업의이해,3
381,009389,호텔외식경영실무1,3
382,003093,주류학,3
383,007445,식음료원가관리,3
384,009397,호텔외식경영실무3,3
385,011457,HRT디지털마케팅,3
386,012194,OTA경영캡스톤디자인,3
387,009118,HRT프랜차이즈시스템및경영론,3
388,009127,HRT소비자행동,3
389,009399,호텔외식경영실무5,3
390,009134,HRT프랜차이즈컨설팅,3
391,009401,호텔외식경영실무7,3
392,011475,HRT빅데이터기반상권분석,3
393,011811,경영학이해,3
394,010194,호텔연회기획과케이터링경영,3
395,010554,고객커뮤니케이션전략,3
396,011847,식음료영양헬스케어,3
397,009385,호텔기업경영론,3
398,009393,호텔외식마케팅,3
399,011600,호텔외식회계원리,3
400,010161,식품관련법규,3
401,010860,호텔외식조리경영실무5,3
402,009405,호텔외식마케팅조사론,3
403,009408,호텔외식컨설팅,3
404,010862,호텔외식조리경영실무7,3
405,010858,호텔외식조리경영실무3,3
406,011536,식재료구매유통관리론,3
407,010844,K-Food&세계요리실습,3
408,011587,외식빅데이터마이닝&시각화,3
409,009387,호텔외식원가관리,3
410,010869,카페베이커리실습,3
411,011631,기초통계학,3
412,006646,해석학개론1,3
413,007645,선형대수학1,3
414,011464,고급통계학,3
415,003064,조합론,3
416,004299,현대대수학1,3
417,004302,수리통계학1,3
418,002998,정수론,3
419,004029,회귀분석1,3
420,004081,전산통계실습,3
421,004102,수치해석,3
422,011274,계산수학2,3
423,002347,위상수학1,3
424,006469,범주형자료분석,3
425,002095,역학1,3
426,003677,항성천문학,3
427,001776,수리물리1,3
428,009700,기초계산과학,3
429,010884,현대물리학및실험,3
430,002035,양자역학1,3
431,002977,전자기학2,3
432,003182,천체물리학,3
433,007740,항성대기,3
434,010555,고급계산과학,3
435,011435,기초회로와센서실험,3
436,000283,고체물리학1,3
437,003335,통계물리학,3
438,007741,현대우주론,3
439,008044,전파천문학,3
440,009138,디스플레이광학,3
441,010886,데이터분석기법,3
442,002712,일반화학2,3
443,001476,분석화학실험,3
444,002354,유기화학1,3
445,002982,정량분석화학,3
446,007793,향장화학,3
447,008577,화학을위한물리,3
448,001114,무기화학,3
449,001283,물리화학2,3
450,001288,물리화학실험,3
451,004461,기기분석화학,3
452,006970,유기메카니즘,3
453,007840,화학교과교육론,3
454,011445,이차전지개론,3
455,004462,생화학,3
456,004309,유기합성,3
457,010557,신소재화학,3
458,002351,유기화학,3
459,004283,일반미생물학및실험,3
460,005194,생물리화학,3
461,001957,식품화학1,3
462,007468,식품공학,3
463,006591,기능성식품학,3
464,007612,향미화학및관능평가,3
465,009829,식품가공학및실험(종합설계),3
466,010196,동물생명식품학,3
467,010200,식품기기분석,3
468,010888,식품위해미생물학및실험,3
469,007611,식품분석및실험,3
470,009827,식품냉동학,3
471,011082,향장식품소재공학,3
472,012134,식품정밀발효,3
473,006847,일반생물학1,3
474,004282,생화학1,3
475,004281,유기화학,3
476,008602,일반생리학,3
477,005212,세포생물학1,3
478,007818,분자생물학1및실험,3
479,005622,대사생화학,3
480,005643,생명의약학,3
481,006920,면역학2,3
482,009679,응용균학,3
483,005211,생물화학공학,3
484,008065,줄기세포학,3
485,008604,후성유전학,3
486,009326,단백질공학,3
487,009687,인지뇌과학,3
488,011975,바이오메디컬AI,3
489,012127,첨단바이오제약공학,3
490,012133,생명공학종합설계-캡스톤디자인1,3
491,009697,일반유전학,3
492,009855,재배학및실습,3
493,005458,생화학및실험,3
494,008960,식물생리학및실험,3
495,012119,AI기반생물정보학,3
496,012121,유전체학과AI,3
497,012123,AI기반분자육종학및실험,3
498,008972,종묘생산학,3
499,009672,생체신호전달,3
500,012124,AI활용식물스트레스생물학,3
501,011122,분자세포생물학및실험1,3
502,011123,식물생명과학및실습,3
503,011124,수산생물학및실험,3
504,011952,머신러닝기초및실습,3
505,011982,기능성바이오소재탐색,3
506,011128,종자생명산업과학및실습1,3
507,011135,천연물화학및실험1,3
508,004702,면역학,3
509,008974,생물정보학,3
510,011134,어류생리학,3
511,011976,산업및기능성곤충학,3
512,009267,빅데이터분석,3
513,011978,바이오식의약캡스톤디자인,3
514,006558,무선통신공학,3
515,006562,초고주파공학,3
516,007059,음향공학,3
517,007585,통신시스템설계,3
518,009654,전자정보통신공학특강A,3
519,009661,반도체공정실험,3
520,009662,전자회로설계,3
521,009947,캡스톤디자인A,3
522,011366,반도체종합설계A,6
523,011368,시스템반도체설계,3
524,011372,마이크로패키징,3
525,011383,반도체소자제작및실습1,3
526,011385,반도체시스템이론및실습,3
527,009960,Capstone디자인(산학협력프로젝트),6
528,006132,영상처리,3
529,006135,정보보호개론,3
530,006478,무선통신,3
531,009665,패턴인식,3
532,011771,K-MOOC:생성형인공지능입문,3
533,011924,최신기술콜로키움3,1
534,012001,지능형엣지시스템,3
535,012008,AI기반악성코드분석,3
536,012168,K-MOOC:디지털포렌식,3
537,006208,가상현실,3
538,010000,기계학습,3
539,011904,생성형AI,3
540,012165,연구실인턴십3,3
541,010564,고급데이터처리,3
542,010237,AI로봇설계,3
543,010238,딥러닝시스템,3
544,005764,졸업작품(P/NP),0
545,012035,제너레이티브디자인,3
546,012036,AI활용UX디자인,3
547,012181,디지털미디어캡스톤디자인프로젝트1,3
548,012183,아이덴티티캡스톤디자인1,3
549,012184,제품및운송기기캡스톤디자인3,3
550,012186,제품시스템캡스톤디자인1,3
551,010298,애니메이션코어스튜디오1,3
552,010300,웹툰커넥션프로덕션1,3
553,012215,만화·애니캡스톤디자인1,3
554,004474,통신이론,3
555,004600,디지털신호처리,3
556,004699,데이터통신,3
557,007453,전자회로1,3
558,009649,전자기1,3
559,011674,고급물리전자,3
560,002505,인공지능,3
561,004475,자동제어,3
562,007235,랜덤프로세스,3
563,008076,기초광학및실험,3
564,007330,확률및통계,3
565,009912,C프로그래밍및실습,3
566,004114,전기회로,3
567,008622,확률및랜덤변수,3
568,011678,기초전자물리,3
569,000307,공업수학2,3
570,004268,데이터구조론,3
571,005611,디지털논리회로,3
572,008621,MATLAB프로그래밍,3
573,004110,전기회로,3
574,011260,파이썬기반기계학습,3
575,011984,디지털트윈개론,3
576,011986,자료구조및알고리즘,3
577,011345,반도체개론,3
578,011441,기초물리전자공학,3
579,011936,반도체응용수학,3
580,011983,전기회로1,3
581,011351,반도체특화연구및실험2,3
582,006152,전자기학,3
583,007722,전자회로2,3
584,011358,반도체소자공학,3
585,011359,나노소재의합성및응용,3
586,004118,디지털시스템,3
587,009913,고급C프로그래밍및실습,3
588,009952,자료구조및실습,3
589,006237,웹프로그래밍,3
590,009914,공학설계기초(산학프로젝트입문),3
591,009992,문제해결및실습:C++,3
592,011251,K-MOOC:모두를위한머신러닝,3
593,004310,운영체제,3
594,005246,신호및시스템,3
595,006474,C#프로그래밍,3
596,007219,데이터베이스,3
597,007313,프로그래밍언어의개념,3
598,010881,딥러닝,3
599,011921,최신기술콜로키움1,1
600,012142,지능형컴퓨터그래픽스,3
601,003284,컴퓨터네트워크,3
602,009173,정보보호와보안의기초,3
603,009955,이산수학및프로그래밍,3
604,009520,공개키암호론,3
605,009986,운영체제및보안,3
606,011566,K-MOOC:데이터베이스보안,3
607,011971,K-MOOC:메모리익스플로잇:해킹과방어,3
608,011973,정보보호연구입문,3
609,009957,오픈소스SW개론,3
610,011488,자료구조및실습,3
611,012009,객체지향프로그래밍:C++,3
612,010206,일반물리및시뮬레이션,3
613,012012,디지털이미지프로그래밍,3
614,010142,데이터분석개론,3
615,011499,인공지능수학,3
616,010148,텍스트마이닝,3
617,010227,컴퓨터구조및운영체제,3
618,011509,딥러닝실습,3
619,011514,컴퓨터비전,3
620,010224,창의SW기초설계,3
621,004642,동역학,3
622,011428,AI로봇프로그래밍,3
623,011647,메카트로닉스,3
624,001823,수치해석,3
625,001878,시스템프로그래밍,3
626,004599,통신시스템,3
627,011506,영상처리,3
628,011649,구동시스템,3
629,001275,물리학및실험1,3
630,008785,애니메이션기초1,3
631,010306,2D디자인,3
632,010307,3D디자인,3
633,012208,웹툰·만화기초1,3
634,003313,타이포그래피,2
635,006225,기초렌더링,3
636,010310,프로덕트디자인2,3
637,010312,비주얼커뮤니케이션디자인2,3
638,010314,디자인인모션1,3
639,011910,스마트UX&UI디자인1,3
640,000703,그래픽디자인1,3
641,010329,프로덕트&모빌리티디자인1,3
642,010333,스마트프로덕트디자인1,3
643,010335,3D그래픽어플리케이션,3
644,010336,인포그래픽,3
645,008790,콘텐츠기획1,3
646,010279,내러티브워크숍,3
647,010281,애니메이션액팅1,3
648,011185,프리비즈워크숍1,3
649,012209,컴퓨터그래픽스기초1,3
650,012219,웹툰·만화제작1,3
651,011090,디지털코믹스제작1,3
652,011191,비주얼디벨롭먼트1,3
653,011088,이펙트디자인1,3
654,011187,애니메이션워크숍1,3
655,012211,컴퓨터그래픽스고급1,3
656,012213,애니메이션디렉팅종합설계1,3
657,012169,국가·국방사이버안보론,3
658,009224,리눅스의기초및실습,3
659,010220,북한학,3
660,011901,지능사물인터넷개론,3
661,006139,임베디드시스템,3
662,012092,지능형IoT융합서비스(모듈형),3
663,011990,지능IoT플랫폼,3
664,012027,사물강화학습,3
665,012170,IoT네트워크,3
666,012171,IoT통신시스템,3
667,012174,SIP창업실행세미나,3
668,012175,SIP재무투자세미나,1
669,012172,IoT산업연계실습1,3
670,012191,병영체험1,0
671,012192,전쟁론,3
672,000304,공업수학1,3
673,011277,건축기초설계,3
674,006153,건축구조시스템,3
675,006154,건축환경개론,3
676,004321,구조역학2,3
677,007663,건축환경설계,3
678,008180,건설관리및경영,3
679,004431,건축일반구조,3
680,006479,건축기계설비시스템,3
681,007662,철근콘크리트공학,3
682,012037,건축공학AI,3
683,007812,공학설계A,3
684,004704,철골구조,3
685,006574,건축전기설비시스템,3
686,006932,건축실무,3
687,008182,구조계획및설계,3
688,003353,통계학개론,3
689,006157,스튜디오1,6
690,006776,건축디지털디자인1,3
691,011280,표현과매체,3
692,006481,스튜디오3,6
693,007828,건축시공및관리,3
694,011286,현대건축사,3
695,011283,디지털패브리케이션,3
696,006577,건축법제도,3
697,006663,스튜디오5,6
698,008642,프로젝트관리론,3
699,006765,도시계획,3
700,010273,건축구조역학,3
701,006930,스튜디오7,6
702,007177,공간과사회,3
703,004280,응용역학및연습1,3
704,004674,환경공학및실험,3
705,010657,유체역학및연습,3
706,007153,기초창의설계,3
707,010589,콘크리트공학,3
708,010590,구조공학,3
709,004852,측량학,3
710,010591,재해방지공학,3
711,010593,강구조공학,3
712,011426,스마트수처리시스템공학,3
713,004710,해안및항만공학,3
714,004898,내진설계,3
715,005222,도로공학,3
716,010598,건설CAD,3
717,011963,AI기반건설환경데이터분석,3
718,011436,환경해양학,3
719,012243,지구시스템모델링입문,3
720,007738,토양지하수환경학,3
721,010902,졸업논문연구,3
722,009638,환경에너지전문가과정연습,3
723,005217,재료열역학1,3
724,006682,결정구조및X-선회절,3
725,006680,신소재과학1,3
726,007160,전기전자공학,3
727,009196,공학기초설계실험,3
728,012205,나노신소재화학,3
729,012207,재료전자기학,3
730,005650,고체물리,3
731,006683,확산및상변태,3
732,000264,고분자화학,3
733,005918,반도체재료,3
734,007315,기초물리화학,3
735,008495,에너지재료,3
736,009024,산화물재료,3
737,010079,금속과세라믹기초설계및실험,3
738,007274,고분자합성,3
